model,stream,band_class,n,rho_mean,rho_median,rho_p90,rho_p95,rho_p99,rho_max,rho_frac_gt_05,rho_frac_gt_10,rho_frac_gt_20,varhet_mean,varhet_p90,varhet_p99,varhet_max
llama-3.2-1b,Q,all,16384,0.164559,0.127094,0.355752,0.445342,0.657028,0.957574,0.780273,0.590332,0.309875,0.465730,1.032004,2.322986,5.081036
llama-3.2-1b,Q,low_freq,2560,0.153596,0.121088,0.322672,0.406832,0.619507,0.927010,0.783203,0.574219,0.273438,0.420837,0.900260,1.815323,3.721567
llama-3.2-1b,Q,high_freq,13824,0.166589,0.128409,0.360420,0.452398,0.660369,0.957574,0.779731,0.593316,0.316623,0.474043,1.058868,2.390133,5.081036
llama-3.2-1b,K,all,4096,0.169138,0.121701,0.388600,0.515363,0.710522,0.932151,0.768555,0.571045,0.303711,0.577383,1.304588,2.528282,5.477098
llama-3.2-1b,K,low_freq,640,0.115137,0.082227,0.250944,0.310718,0.498861,0.754034,0.693750,0.428125,0.176563,0.438682,0.978061,1.733433,2.293596
llama-3.2-1b,K,high_freq,3456,0.179139,0.130090,0.411531,0.539722,0.728680,0.932151,0.782407,0.597512,0.327257,0.603068,1.339588,2.591575,5.477098
llama-3.2-1b-instruct,Q,all,16384,0.163491,0.126746,0.352230,0.441537,0.659335,0.954417,0.782959,0.586731,0.304626,0.459595,1.012218,2.252651,5.614330
llama-3.2-1b-instruct,Q,low_freq,2560,0.154307,0.121441,0.327791,0.415940,0.629368,0.918157,0.779687,0.577734,0.279687,0.412852,0.906331,1.755409,4.093034
llama-3.2-1b-instruct,Q,high_freq,13824,0.165192,0.127514,0.355943,0.447806,0.665637,0.954417,0.783565,0.588397,0.309245,0.468251,1.035872,2.340485,5.614330
llama-3.2-1b-instruct,K,all,4096,0.166814,0.119757,0.386483,0.502592,0.706691,0.926664,0.767334,0.564453,0.300049,0.560040,1.254717,2.458039,5.610233
llama-3.2-1b-instruct,K,low_freq,640,0.115173,0.083245,0.250615,0.308732,0.521565,0.702574,0.703125,0.435937,0.168750,0.431672,0.944711,1.736815,2.457504
llama-3.2-1b-instruct,K,high_freq,3456,0.176376,0.128560,0.409363,0.532315,0.733581,0.926664,0.779225,0.588252,0.324363,0.583812,1.304347,2.512218,5.610233
llama-3.2-3b,Q,all,43008,0.140969,0.103487,0.302893,0.404345,0.689622,0.999866,0.734352,0.513881,0.229446,0.401937,0.910438,2.419390,5.895541
llama-3.2-3b,Q,low_freq,6720,0.130416,0.099935,0.278389,0.349969,0.574017,0.999866,0.725446,0.499702,0.206250,0.380128,0.850082,1.845761,4.304088
llama-3.2-3b,Q,high_freq,36288,0.142923,0.104272,0.308386,0.413847,0.701736,0.990926,0.736001,0.516507,0.233741,0.405976,0.922212,2.488468,5.895541
llama-3.2-3b,K,all,14336,0.159382,0.109178,0.371192,0.491167,0.752390,0.998482,0.748117,0.533064,0.269671,0.533955,1.261857,2.736783,6.533728
llama-3.2-3b,K,low_freq,2240,0.106992,0.083387,0.219771,0.275509,0.490713,0.998482,0.680357,0.420089,0.123214,0.409058,0.944751,2.017684,4.066346
llama-3.2-3b,K,high_freq,12096,0.169084,0.116213,0.395095,0.516502,0.770700,0.978887,0.760665,0.553985,0.296792,0.557084,1.321137,2.797638,6.533728
llama-3.2-3b-instruct,Q,all,43008,0.141182,0.104120,0.301887,0.398323,0.692732,0.999819,0.735933,0.515509,0.231445,0.401749,0.904196,2.345648,5.980382
llama-3.2-3b-instruct,Q,low_freq,6720,0.130943,0.099648,0.273827,0.352004,0.589260,0.999819,0.729762,0.498958,0.207292,0.386489,0.865892,1.948019,4.822723
llama-3.2-3b-instruct,Q,high_freq,36288,0.143078,0.105031,0.306527,0.406996,0.703775,0.991824,0.737076,0.518574,0.235918,0.404575,0.912037,2.404897,5.980382
llama-3.2-3b-instruct,K,all,14336,0.155757,0.108343,0.360432,0.482849,0.742156,0.999204,0.740165,0.530552,0.261230,0.518707,1.214783,2.687871,6.832115
llama-3.2-3b-instruct,K,low_freq,2240,0.105882,0.082327,0.215189,0.281082,0.470257,0.999204,0.670982,0.415179,0.120089,0.420693,0.972284,2.234953,4.197372
llama-3.2-3b-instruct,K,high_freq,12096,0.164993,0.114436,0.385095,0.503385,0.760420,0.980737,0.752976,0.551918,0.287368,0.536858,1.264890,2.753295,6.832115
llama-3.1-8b,Q,all,65536,0.134766,0.098156,0.292777,0.388023,0.649537,0.997968,0.722916,0.492386,0.211823,0.367275,0.839342,2.069140,4.624516
llama-3.1-8b,Q,low_freq,10240,0.127769,0.096096,0.271121,0.350520,0.600810,0.997968,0.716602,0.483203,0.191602,0.378448,0.850691,1.895917,4.624516
llama-3.1-8b,Q,high_freq,55296,0.136062,0.098502,0.297334,0.395755,0.655744,0.980168,0.724085,0.494086,0.215567,0.365206,0.838088,2.090155,4.585439
llama-3.1-8b,K,all,16384,0.154058,0.106969,0.358770,0.467510,0.703473,0.999354,0.737793,0.524353,0.264648,0.504325,1.199394,2.640948,4.818928
llama-3.1-8b,K,low_freq,2560,0.103377,0.076156,0.215754,0.278741,0.510543,0.999354,0.640234,0.389844,0.120703,0.391410,0.881632,1.982220,4.612970
llama-3.1-8b,K,high_freq,13824,0.163443,0.115251,0.379518,0.488450,0.709131,0.973203,0.755859,0.549262,0.291305,0.525235,1.262553,2.702443,4.818928
llama-3.1-8b-instruct,Q,all,65536,0.136982,0.100226,0.297083,0.392930,0.650658,0.997608,0.727615,0.500839,0.219620,0.372655,0.847545,2.078182,4.678848
llama-3.1-8b-instruct,Q,low_freq,10240,0.129218,0.096204,0.274967,0.355295,0.612947,0.997608,0.720996,0.484570,0.199316,0.386512,0.863390,1.903775,4.678848
llama-3.1-8b-instruct,Q,high_freq,55296,0.138420,0.101121,0.301393,0.399994,0.656828,0.981481,0.728841,0.503852,0.223380,0.370089,0.844888,2.100501,4.600122
llama-3.1-8b-instruct,K,all,16384,0.155184,0.109739,0.357040,0.465766,0.698064,0.999318,0.741760,0.533386,0.268738,0.503833,1.195190,2.637798,4.909244
llama-3.1-8b-instruct,K,low_freq,2560,0.104554,0.076943,0.216466,0.282052,0.510765,0.999318,0.650391,0.396875,0.123438,0.399528,0.907991,1.985080,4.737109
llama-3.1-8b-instruct,K,high_freq,13824,0.164560,0.117478,0.381185,0.486794,0.702917,0.970467,0.758681,0.558666,0.295645,0.523149,1.243167,2.693439,4.909244
