layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,0.313071,1.071012e-01,1.513849e-02,7.074760,6.111335e-02,6.111479e-02
0,Q,0,1,7.498942093e-01,-0.000302,-0.000091,-0.817678,7.924893e-01,2.130463e-01,3.719799,5.026804e-01,5.026497e-01
0,Q,0,2,5.623413252e-01,-0.000657,0.000585,0.360564,7.674581e-01,6.563623e-02,11.692599,4.163165e-01,4.162692e-01
0,Q,0,3,4.216965034e-01,-0.000354,-0.000042,-0.954417,1.326040e+00,2.364298e+00,0.560860,1.845353e+00,1.845282e+00
0,Q,0,4,3.162277660e-01,0.000501,0.000498,-0.762205,2.398974e+00,4.739235e-01,5.061942,1.436930e+00,1.437335e+00
0,Q,0,5,2.371373706e-01,-0.000989,0.001734,0.480407,1.456683e-01,3.724301e+00,0.039113,1.936755e+00,1.936142e+00
0,Q,0,6,1.778279410e-01,-0.000637,0.000035,0.835647,7.920829e-01,4.287907e-01,1.847248,6.103211e-01,6.103040e-01
0,Q,0,7,1.333521432e-01,-0.000775,0.000062,-0.147094,6.912320e-02,7.777589e-01,0.088875,4.237157e-01,4.237178e-01
0,Q,0,8,1.000000000e-01,0.002108,0.001763,-0.129506,2.089095e-01,1.686444e-01,1.238757,1.888194e-01,1.888622e-01
0,Q,0,9,7.498942093e-02,-0.002202,0.000644,0.215285,4.683156e-01,1.000077e-01,4.682797,2.837562e-01,2.837262e-01
0,Q,0,10,5.623413252e-02,-0.004023,0.006479,-0.006388,1.418737e-01,1.479721e-01,0.958787,1.449352e-01,1.449412e-01
0,Q,0,11,4.216965034e-02,-0.000137,0.011576,-0.639613,2.170293e-01,3.232959e-01,0.671302,2.701699e-01,2.721312e-01
0,Q,0,12,3.162277660e-02,-0.005526,0.013351,0.538614,2.511243e-01,9.759501e-02,2.573127,1.739355e-01,1.728097e-01
0,Q,0,13,2.371373706e-02,0.002145,0.020309,-0.440036,1.497769e-01,1.662794e-01,0.900754,1.580105e-01,1.594208e-01
0,Q,0,14,1.778279410e-02,-0.007991,0.025063,0.405667,7.323586e-02,2.021264e-01,0.362327,1.381961e-01,1.369591e-01
0,Q,0,15,1.333521432e-02,-0.017483,0.024473,0.511398,2.169944e-01,1.274235e-01,1.702938,1.714260e-01,1.693449e-01
