layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,0.294515,6.290865e-02,1.702403e-02,3.695284,3.996310e-02,3.996421e-02
0,Q,0,1,7.498942093e-01,-0.000302,-0.000091,-0.709490,6.959088e-01,1.576863e-01,4.413248,4.267164e-01,4.266949e-01
0,Q,0,2,5.623413252e-01,-0.000657,0.000585,0.185612,5.845954e-01,6.438895e-02,9.079126,3.243212e-01,3.243002e-01
0,Q,0,3,4.216965034e-01,-0.000354,-0.000042,-0.953167,1.220777e+00,2.287434e+00,0.533688,1.754295e+00,1.754228e+00
0,Q,0,4,3.162277660e-01,0.000501,0.000498,-0.738168,2.252442e+00,4.492472e-01,5.013814,1.351296e+00,1.351665e+00
0,Q,0,5,2.371373706e-01,-0.000989,0.001734,0.413488,1.208944e-01,3.343523e+00,0.036158,1.733803e+00,1.733347e+00
0,Q,0,6,1.778279410e-01,-0.000637,0.000035,0.838111,7.510875e-01,4.626168e-01,1.623563,6.067603e-01,6.067429e-01
0,Q,0,7,1.333521432e-01,-0.000775,0.000062,-0.353784,9.404736e-02,8.096172e-01,0.116163,4.521096e-01,4.521157e-01
0,Q,0,8,1.000000000e-01,0.002108,0.001763,-0.002993,2.357995e-01,1.674575e-01,1.408116,2.017005e-01,2.017016e-01
0,Q,0,9,7.498942093e-02,-0.002202,0.000644,0.303809,4.517236e-01,1.019054e-01,4.432775,2.764294e-01,2.763874e-01
0,Q,0,10,5.623413252e-02,-0.004023,0.006479,-0.137534,1.667442e-01,1.451897e-01,1.148457,1.559236e-01,1.560623e-01
0,Q,0,11,4.216965034e-02,-0.000137,0.011576,-0.615518,2.162273e-01,3.207262e-01,0.674180,2.684839e-01,2.703603e-01
0,Q,0,12,3.162277660e-02,-0.005526,0.013351,0.598882,2.553283e-01,1.082089e-01,2.359587,1.813621e-01,1.800331e-01
0,Q,0,13,2.371373706e-02,0.002145,0.020309,-0.477931,1.604358e-01,1.959256e-01,0.818861,1.781426e-01,1.798635e-01
0,Q,0,14,1.778279410e-02,-0.007991,0.025063,0.398461,8.401351e-02,2.261874e-01,0.371433,1.556685e-01,1.542918e-01
0,Q,0,15,1.333521432e-02,-0.017483,0.024473,0.599450,2.606036e-01,1.284238e-01,2.029246,1.933583e-01,1.906744e-01
0,Q,0,16,1.000000000e-02,-0.003392,0.048624,0.194107,1.028988e-01,7.087689e-02,1.451796,8.683353e-02,8.602750e-02
0,Q,0,17,7.498942093e-03,-0.021037,0.007504,0.592752,5.640788e-01,2.497767e-01,2.258333,4.036217e-01,4.019521e-01
0,Q,0,18,5.623413252e-03,-0.037860,0.065093,0.268665,1.219438e-01,6.120933e-02,1.992243,9.042689e-02,8.891600e-02
0,Q,0,19,4.216965034e-03,-0.058139,0.058002,-0.399138,5.754625e-02,1.521593e+00,0.037820,8.321285e-01,8.389790e-01
0,Q,0,20,3.162277660e-03,0.029071,0.005782,-0.734205,3.241512e+00,2.213686e-01,14.643053,1.775339e+00,1.778935e+00
0,Q,0,21,2.371373706e-03,-0.029757,0.201586,-0.371786,3.562083e+00,8.849153e-02,40.253383,1.773606e+00,1.815684e+00
0,Q,0,22,1.778279410e-03,0.115461,0.063392,-0.227139,2.920667e-01,1.324205e-01,2.205600,2.214601e-01,2.242918e-01
0,Q,0,23,1.333521432e-03,-0.134071,0.058145,-0.309246,1.790798e-01,1.320410e-01,1.356244,1.524072e-01,1.551722e-01
0,Q,0,24,1.000000000e-03,-0.199597,0.385077,0.217678,6.297984e-02,2.301913e-01,0.273598,1.632730e-01,1.531803e-01
0,Q,0,25,7.498942093e-04,0.022292,0.650353,0.383559,2.476035e-01,5.383224e-02,4.599540,1.528776e-01,1.240784e-01
0,Q,0,26,5.623413252e-04,0.322370,0.724679,0.427330,3.409671e-01,6.263283e-02,5.443904,2.466633e-01,2.014083e-01
0,Q,0,27,4.216965034e-04,0.571593,0.669410,0.596986,1.673071e-01,9.153987e-02,1.827697,1.510775e-01,1.016215e-01
0,Q,0,28,3.162277660e-04,0.742743,0.562238,0.622481,3.915472e-01,3.264749e-01,1.199318,3.831770e-01,2.580464e-01
0,Q,0,29,2.371373706e-04,0.849905,0.448857,0.030536,4.263141e-01,7.392638e-02,5.766738,3.998682e-01,3.974350e-01
0,Q,0,30,1.778279410e-04,0.913831,0.348535,0.345505,8.299781e-02,1.941239e-01,0.427551,8.778565e-02,7.250037e-02
0,Q,0,31,1.333521432e-04,0.950977,0.266509,-0.840556,7.086913e-01,2.559921e-01,2.768411,6.975949e-01,7.930108e-01
0,Q,1,0,1.000000000e+00,-0.000141,-0.000114,0.324176,1.548881e+00,1.020455e-01,15.178341,8.253610e-01,8.253758e-01
0,Q,1,1,7.498942093e-01,-0.000302,-0.000091,0.517931,1.330257e+00,1.521840e-01,8.741110,7.410427e-01,7.410641e-01
0,Q,1,2,5.623413252e-01,-0.000657,0.000585,-0.581090,3.751333e-01,5.381597e-01,0.697067,4.567001e-01,4.568528e-01
0,Q,1,3,4.216965034e-01,-0.000354,-0.000042,-0.528386,8.511426e-01,4.057861e-01,2.097516,6.283855e-01,6.283725e-01
0,Q,1,4,3.162277660e-01,0.000501,0.000498,-0.055136,2.551518e-01,5.820261e-01,0.438386,4.185071e-01,4.185177e-01
0,Q,1,5,2.371373706e-01,-0.000989,0.001734,-0.308676,4.814091e-01,2.696064e-01,1.785600,3.754030e-01,3.755959e-01
0,Q,1,6,1.778279410e-01,-0.000637,0.000035,0.693244,6.254137e-01,2.416620e-01,2.587968,4.334157e-01,4.334062e-01
0,Q,1,7,1.333521432e-01,-0.000775,0.000062,-0.564226,4.617723e-01,3.267508e-01,1.413225,3.942093e-01,3.942229e-01
0,Q,1,8,1.000000000e-01,0.002108,0.001763,0.261311,3.704417e-01,3.124823e-01,1.185481,3.415231e-01,3.413664e-01
0,Q,1,9,7.498942093e-02,-0.002202,0.000644,-0.006725,3.374447e-01,1.005273e+00,0.335675,6.720942e-01,6.720968e-01
0,Q,1,10,5.623413252e-02,-0.004023,0.006479,0.652729,1.404121e+00,4.300433e-01,3.265069,9.151228e-01,9.118363e-01
0,Q,1,11,4.216965034e-02,-0.000137,0.011576,-0.327340,3.093717e-01,6.410998e-01,0.482564,4.752584e-01,4.769460e-01
0,Q,1,12,3.162277660e-02,-0.005526,0.013351,-0.429738,7.959835e-01,3.894366e-01,2.043936,5.915868e-01,5.947812e-01
0,Q,1,13,2.371373706e-02,0.002145,0.020309,-0.059252,5.174045e-01,5.951648e-01,0.869347,5.562012e-01,5.568690e-01
0,Q,1,14,1.778279410e-02,-0.007991,0.025063,0.196486,1.849670e-01,9.599389e-01,0.192686,5.755492e-01,5.734741e-01
0,Q,1,15,1.333521432e-02,-0.017483,0.024473,-0.331957,2.873123e-01,5.139781e-01,0.558997,4.026266e-01,4.057485e-01
0,Q,1,16,1.000000000e-02,-0.003392,0.048624,0.284561,3.991328e-01,7.740446e-01,0.515646,5.872246e-01,5.795339e-01
0,Q,1,17,7.498942093e-03,-0.021037,0.007504,-0.034174,3.819555e-01,3.973178e-01,0.961335,3.897983e-01,3.898982e-01
0,Q,1,18,5.623413252e-03,-0.037860,0.065093,0.330795,3.803254e-01,1.980299e-01,1.920545,2.857268e-01,2.798175e-01
0,Q,1,19,4.216965034e-03,-0.058139,0.058002,0.192001,2.965466e-01,1.151723e+00,0.257481,7.489945e-01,7.424863e-01
0,Q,1,20,3.162277660e-03,0.029071,0.005782,-0.443262,1.469832e+00,6.186051e-01,2.376042,1.056591e+00,1.059035e+00
0,Q,1,21,2.371373706e-03,-0.029757,0.201586,-0.721489,4.699313e+00,6.933096e-01,6.778087,2.636708e+00,2.899233e+00
0,Q,1,22,1.778279410e-03,0.115461,0.063392,-0.355243,4.512437e-01,4.830612e-01,0.934134,4.653156e-01,4.758296e-01
0,Q,1,23,1.333521432e-03,-0.134071,0.058145,0.348706,8.610232e-01,6.949457e-01,1.238979,7.668514e-01,7.511675e-01
0,Q,1,24,1.000000000e-03,-0.199597,0.385077,0.547261,2.079591e-01,3.387347e-01,0.613929,2.863981e-01,2.304660e-01
0,Q,1,25,7.498942093e-04,0.022292,0.650353,0.331109,1.333875e+00,4.198079e-01,3.177347,8.870296e-01,7.258898e-01
0,Q,1,26,5.623413252e-04,0.322370,0.724679,-0.023142,6.137795e-01,1.712534e-01,3.584043,4.638450e-01,4.692822e-01
0,Q,1,27,4.216965034e-04,0.571593,0.669410,-0.002566,1.049358e+00,9.614803e-02,10.913986,8.451775e-01,8.457230e-01
0,Q,1,28,3.162277660e-04,0.742743,0.562238,0.496282,8.998412e-01,1.539442e+00,0.584524,9.821122e-01,6.537046e-01
0,Q,1,29,2.371373706e-04,0.849905,0.448857,0.125913,6.188403e-01,7.153296e-01,0.865112,6.260816e-01,5.884788e-01
0,Q,1,30,1.778279410e-04,0.913831,0.348535,-0.441383,2.796714e-01,4.776694e-01,0.585492,2.882021e-01,3.444296e-01
0,Q,1,31,1.333521432e-04,0.950977,0.266509,0.058447,6.677887e-01,2.407705e-01,2.773549,6.573218e-01,6.510759e-01
0,Q,2,0,1.000000000e+00,-0.000141,-0.000114,-0.767401,9.626250e-01,9.331957e-01,1.031536,9.479082e-01,9.478250e-01
0,Q,2,1,7.498942093e-01,-0.000302,-0.000091,-0.370441,7.092954e-01,1.127257e+00,0.629222,9.183393e-01,9.183090e-01
0,Q,2,2,5.623413252e-01,-0.000657,0.000585,0.343352,4.594307e-01,5.867318e-01,0.783034,5.231231e-01,5.230188e-01
0,Q,2,3,4.216965034e-01,-0.000354,-0.000042,0.465654,8.997458e-01,3.607868e-01,2.493843,6.301709e-01,6.301820e-01
0,Q,2,4,3.162277660e-01,0.000501,0.000498,-0.263471,2.119267e+00,6.221976e-01,3.406099,1.371107e+00,1.371257e+00
