model,stream,band,theta_k,C_k,S_k,band_class,n,rho_mean,rho_median,rho_p95,rho_max,varhet_mean,varhet_p95,varhet_max
llama-3.2-1b,Q,0,1.000000,-0.000141,-0.000114,high_freq,512,0.231432,0.194543,0.566879,0.957574,0.441795,1.313903,3.528812
llama-3.2-1b,Q,1,0.749894,-0.000302,-0.000091,high_freq,512,0.200239,0.169655,0.515130,0.825349,0.418646,1.123136,2.914609
llama-3.2-1b,Q,2,0.562341,-0.000657,0.000585,high_freq,512,0.189611,0.161615,0.479749,0.861480,0.416066,1.078810,2.412022
llama-3.2-1b,Q,3,0.421697,-0.000354,-0.000042,high_freq,512,0.192945,0.156259,0.481883,0.953167,0.400703,1.046432,2.719623
llama-3.2-1b,Q,4,0.316228,0.000501,0.000498,high_freq,512,0.179721,0.144423,0.465305,0.846009,0.423158,1.165679,1.935009
llama-3.2-1b,Q,5,0.237137,-0.000989,0.001734,high_freq,512,0.165245,0.124097,0.418374,0.658678,0.417688,1.091213,3.319863
llama-3.2-1b,Q,6,0.177828,-0.000637,0.000035,high_freq,512,0.167973,0.121046,0.448051,0.911166,0.407914,1.085274,1.999789
llama-3.2-1b,Q,7,0.133352,-0.000775,0.000062,high_freq,512,0.162870,0.127842,0.437457,0.920623,0.420115,1.112130,2.152763
llama-3.2-1b,Q,8,0.100000,0.002108,0.001763,high_freq,512,0.153334,0.116012,0.414980,0.832946,0.401017,1.049263,2.663296
llama-3.2-1b,Q,9,0.074989,-0.002202,0.000644,high_freq,512,0.163472,0.128236,0.397915,0.837475,0.388989,1.036369,3.447752
llama-3.2-1b,Q,10,0.056234,-0.004023,0.006479,high_freq,512,0.162793,0.132227,0.426158,0.866768,0.396678,0.988335,2.532725
llama-3.2-1b,Q,11,0.042170,-0.000137,0.011576,high_freq,512,0.138953,0.097979,0.407298,0.666122,0.366321,1.016153,1.932575
llama-3.2-1b,Q,12,0.031623,-0.005526,0.013351,high_freq,512,0.170477,0.140339,0.417677,0.872106,0.396441,1.015113,2.146445
llama-3.2-1b,Q,13,0.023714,0.002145,0.020309,high_freq,512,0.159436,0.129399,0.403003,0.885683,0.437820,1.156307,2.600905
llama-3.2-1b,Q,14,0.017783,-0.007991,0.025063,high_freq,512,0.151689,0.113788,0.414879,0.831747,0.455547,1.334178,2.025313
llama-3.2-1b,Q,15,0.013335,-0.017483,0.024473,high_freq,512,0.157465,0.134611,0.396376,0.855099,0.433870,1.119760,2.428616
llama-3.2-1b,Q,16,0.010000,-0.003392,0.048624,high_freq,512,0.155991,0.132499,0.357991,0.870676,0.375638,1.056540,2.903436
llama-3.2-1b,Q,17,0.007499,-0.021037,0.007504,high_freq,512,0.146734,0.116685,0.394113,0.745154,0.784286,1.682367,3.282936
llama-3.2-1b,Q,18,0.005623,-0.037860,0.065093,high_freq,512,0.155962,0.139132,0.396388,0.846667,0.434476,1.297941,2.619474
llama-3.2-1b,Q,19,0.004217,-0.058139,0.058002,high_freq,512,0.167197,0.127215,0.486004,0.870033,0.807785,2.653753,4.439908
llama-3.2-1b,Q,20,0.003162,0.029071,0.005782,high_freq,512,0.226924,0.187240,0.562536,0.880964,1.266908,2.795392,5.081036
llama-3.2-1b,Q,21,0.002371,-0.029757,0.201586,high_freq,512,0.181715,0.129192,0.541532,0.920817,0.608307,2.028873,4.403974
llama-3.2-1b,Q,22,0.001778,0.115461,0.063392,high_freq,512,0.152661,0.112998,0.449441,0.722992,0.386116,1.214770,2.723738
llama-3.2-1b,Q,23,0.001334,-0.134071,0.058145,high_freq,512,0.138152,0.101518,0.424952,0.827286,0.346027,0.993016,2.363672
llama-3.2-1b,Q,24,0.001000,-0.199597,0.385077,high_freq,512,0.145900,0.108550,0.409045,0.863146,0.366195,0.945172,1.448150
llama-3.2-1b,Q,25,0.000750,0.022292,0.650353,high_freq,512,0.135466,0.106260,0.367161,0.799586,0.393481,1.061469,2.892365
llama-3.2-1b,Q,26,0.000562,0.322370,0.724679,high_freq,512,0.143538,0.110834,0.430176,0.726797,0.407186,1.146134,3.053333
llama-3.2-1b,Q,27,0.000422,0.571593,0.669410,low_freq,512,0.152867,0.123356,0.389752,0.747217,0.398817,1.061086,2.390045
llama-3.2-1b,Q,28,0.000316,0.742743,0.562238,low_freq,512,0.153557,0.118090,0.404254,0.927010,0.426128,1.088192,1.957299
llama-3.2-1b,Q,29,0.000237,0.849905,0.448857,low_freq,512,0.155768,0.125546,0.407873,0.796127,0.422450,1.116150,3.721567
llama-3.2-1b,Q,30,0.000178,0.913831,0.348535,low_freq,512,0.149216,0.119829,0.399502,0.789298,0.473859,1.315417,2.267427
llama-3.2-1b,Q,31,0.000133,0.950977,0.266509,low_freq,512,0.156572,0.117653,0.434846,0.840556,0.382931,1.112541,2.578858
llama-3.2-1b,K,0,1.000000,-0.000141,-0.000114,high_freq,128,0.342203,0.320504,0.729671,0.902983,0.688374,1.540423,2.073337
llama-3.2-1b,K,1,0.749894,-0.000302,-0.000091,high_freq,128,0.297613,0.276072,0.658857,0.840760,0.599917,1.421264,2.398678
llama-3.2-1b,K,2,0.562341,-0.000657,0.000585,high_freq,128,0.310426,0.250501,0.689102,0.808899,0.535510,1.304592,2.103089
