model,stream,layer,n,rho_mean,rho_p95,rho_max,varhet_mean,varhet_p95
llama-3.2-1b,Q,0,1024,0.320650,0.758281,0.957574,0.800331,2.288887
llama-3.2-1b,Q,1,1024,0.188316,0.513443,0.869061,0.586574,1.622996
llama-3.2-1b,Q,2,1024,0.141722,0.384550,0.821259,0.460621,1.480073
llama-3.2-1b,Q,3,1024,0.153741,0.397862,0.707192,0.491823,1.617033
llama-3.2-1b,Q,4,1024,0.159918,0.423426,0.776366,0.451793,1.358549
llama-3.2-1b,Q,5,1024,0.149131,0.403067,0.767135,0.430723,1.233966
llama-3.2-1b,Q,6,1024,0.167354,0.452435,0.832946,0.471932,1.596528
llama-3.2-1b,Q,7,1024,0.147960,0.372221,0.759888,0.391707,1.165773
llama-3.2-1b,Q,8,1024,0.130777,0.345578,0.801117,0.382378,1.177984
llama-3.2-1b,Q,9,1024,0.157334,0.391338,0.659695,0.454413,1.299026
llama-3.2-1b,Q,10,1024,0.143084,0.369790,0.540222,0.394695,1.059595
llama-3.2-1b,Q,11,1024,0.136639,0.354337,0.780562,0.406027,1.210048
llama-3.2-1b,Q,12,1024,0.146768,0.394653,0.699907,0.428909,1.296560
llama-3.2-1b,Q,13,1024,0.147297,0.382923,0.644665,0.408617,1.105397
llama-3.2-1b,Q,14,1024,0.174808,0.439095,0.717354,0.419014,1.075821
llama-3.2-1b,Q,15,1024,0.167438,0.431314,0.873614,0.472122,1.332614
llama-3.2-1b,K,0,256,0.297446,0.763359,0.902983,0.858292,2.476486
llama-3.2-1b,K,1,256,0.182634,0.577017,0.795072,0.665812,1.799360
llama-3.2-1b,K,2,256,0.133658,0.382725,0.781316,0.423070,1.278074
llama-3.2-1b,K,3,256,0.166165,0.526490,0.840760,0.606700,1.778311
llama-3.2-1b,K,4,256,0.171485,0.461562,0.800785,0.552767,1.744079
llama-3.2-1b,K,5,256,0.149561,0.551414,0.832363,0.535328,1.641061
llama-3.2-1b,K,6,256,0.154313,0.448787,0.872659,0.617803,1.753249
llama-3.2-1b,K,7,256,0.171619,0.527303,0.659933,0.518991,1.385050
llama-3.2-1b,K,8,256,0.144128,0.402873,0.787490,0.537799,1.467221
llama-3.2-1b,K,9,256,0.167405,0.468033,0.828439,0.591935,1.665459
llama-3.2-1b,K,10,256,0.152820,0.439818,0.749848,0.464246,1.237054
llama-3.2-1b,K,11,256,0.180412,0.548228,0.932151,0.609867,1.786782
llama-3.2-1b,K,12,256,0.159635,0.443301,0.699408,0.539512,1.367124
llama-3.2-1b,K,13,256,0.154939,0.448708,0.673876,0.523899,1.654770
llama-3.2-1b,K,14,256,0.155430,0.394273,0.707364,0.549626,1.479639
llama-3.2-1b,K,15,256,0.164564,0.460280,0.778709,0.642481,1.791257
llama-3.2-1b-instruct,Q,0,1024,0.332740,0.776708,0.954417,0.832354,2.432386
llama-3.2-1b-instruct,Q,1,1024,0.181826,0.489157,0.825375,0.584630,1.625057
llama-3.2-1b-instruct,Q,2,1024,0.144954,0.387835,0.811939,0.452717,1.435855
llama-3.2-1b-instruct,Q,3,1024,0.159595,0.424479,0.750710,0.494259,1.558790
llama-3.2-1b-instruct,Q,4,1024,0.161826,0.432508,0.785979,0.452763,1.320504
llama-3.2-1b-instruct,Q,5,1024,0.149103,0.400183,0.758050,0.424411,1.215692
llama-3.2-1b-instruct,Q,6,1024,0.168390,0.450604,0.817579,0.471070,1.557593
llama-3.2-1b-instruct,Q,7,1024,0.144102,0.366427,0.707006,0.377192,1.139115
llama-3.2-1b-instruct,Q,8,1024,0.128985,0.348570,0.827422,0.375514,1.140816
llama-3.2-1b-instruct,Q,9,1024,0.154999,0.386624,0.622335,0.443031,1.283338
llama-3.2-1b-instruct,Q,10,1024,0.136778,0.353051,0.555834,0.376845,1.055820
llama-3.2-1b-instruct,Q,11,1024,0.135550,0.353475,0.764806,0.397374,1.211337
llama-3.2-1b-instruct,Q,12,1024,0.143555,0.388729,0.669244,0.421617,1.285687
llama-3.2-1b-instruct,Q,13,1024,0.145127,0.382785,0.632760,0.397521,1.124595
llama-3.2-1b-instruct,Q,14,1024,0.166879,0.418689,0.709948,0.396652,1.105516
llama-3.2-1b-instruct,Q,15,1024,0.161447,0.410270,0.896419,0.455563,1.330868
llama-3.2-1b-instruct,K,0,256,0.296995,0.757356,0.909297,0.870301,2.578551
llama-3.2-1b-instruct,K,1,256,0.182486,0.578021,0.798022,0.671644,1.825186
llama-3.2-1b-instruct,K,2,256,0.132203,0.396331,0.782684,0.423173,1.313124
llama-3.2-1b-instruct,K,3,256,0.172080,0.522161,0.832326,0.606500,1.772808
llama-3.2-1b-instruct,K,4,256,0.168991,0.496465,0.790835,0.549760,1.741293
llama-3.2-1b-instruct,K,5,256,0.151395,0.523206,0.823337,0.525947,1.546645
llama-3.2-1b-instruct,K,6,256,0.154559,0.473227,0.867400,0.600572,1.765555
llama-3.2-1b-instruct,K,7,256,0.162650,0.491975,0.688298,0.496190,1.322269
llama-3.2-1b-instruct,K,8,256,0.148567,0.414902,0.788001,0.502434,1.360447
llama-3.2-1b-instruct,K,9,256,0.164940,0.482512,0.797206,0.560372,1.553716
llama-3.2-1b-instruct,K,10,256,0.152419,0.413402,0.753221,0.449963,1.264308
llama-3.2-1b-instruct,K,11,256,0.172053,0.536629,0.926664,0.579207,1.643604
llama-3.2-1b-instruct,K,12,256,0.154638,0.423230,0.683413,0.512164,1.366184
llama-3.2-1b-instruct,K,13,256,0.152564,0.448260,0.649060,0.489166,1.571206
llama-3.2-1b-instruct,K,14,256,0.145963,0.403057,0.653845,0.517363,1.438277
llama-3.2-1b-instruct,K,15,256,0.156511,0.452640,0.785202,0.605882,1.799943
llama-3.2-3b,Q,0,1536,0.377718,0.850303,0.999866,0.931724,2.506160
llama-3.2-3b,Q,1,1536,0.232729,0.663960,0.952602,0.914911,2.594552
llama-3.2-3b,Q,2,1536,0.131190,0.375236,0.937903,0.428103,1.414616
llama-3.2-3b,Q,3,1536,0.136850,0.350725,0.940991,0.408325,1.298971
llama-3.2-3b,Q,4,1536,0.153321,0.407466,0.898908,0.469721,1.453402
llama-3.2-3b,Q,5,1536,0.142422,0.410147,0.899293,0.381122,1.147955
llama-3.2-3b,Q,6,1536,0.135341,0.353911,0.894963,0.375446,1.111235
llama-3.2-3b,Q,7,1536,0.131391,0.370964,0.837950,0.364344,1.101927
llama-3.2-3b,Q,8,1536,0.142089,0.396524,0.795321,0.379709,1.177570
llama-3.2-3b,Q,9,1536,0.128712,0.375790,0.816999,0.361160,1.079316
llama-3.2-3b,Q,10,1536,0.129870,0.352399,0.713171,0.341734,0.937428
llama-3.2-3b,Q,11,1536,0.123156,0.316144,0.662006,0.377139,1.098474
llama-3.2-3b,Q,12,1536,0.114511,0.306011,0.715221,0.311157,0.861988
llama-3.2-3b,Q,13,1536,0.120673,0.314281,0.860873,0.330381,0.925303
llama-3.2-3b,Q,14,1536,0.127932,0.324488,0.704949,0.361070,0.989919
llama-3.2-3b,Q,15,1536,0.137555,0.373052,0.780609,0.360494,1.047185
llama-3.2-3b,Q,16,1536,0.121195,0.326822,0.805055,0.336447,0.926944
llama-3.2-3b,Q,17,1536,0.133626,0.394499,0.860271,0.367326,1.105665
llama-3.2-3b,Q,18,1536,0.116025,0.303831,0.813953,0.329784,0.951810
llama-3.2-3b,Q,19,1536,0.119292,0.319932,0.765363,0.357080,1.132771
llama-3.2-3b,Q,20,1536,0.118190,0.322591,0.763960,0.318639,0.982921
llama-3.2-3b,Q,21,1536,0.117470,0.323420,0.866333,0.319506,0.950117
llama-3.2-3b,Q,22,1536,0.114021,0.328101,0.873700,0.314003,0.984763
llama-3.2-3b,Q,23,1536,0.122081,0.314421,0.861563,0.326608,0.971623
llama-3.2-3b,Q,24,1536,0.112931,0.300617,0.760332,0.319617,0.915062
llama-3.2-3b,Q,25,1536,0.107639,0.309045,0.844398,0.288807,0.954490
llama-3.2-3b,Q,26,1536,0.142876,0.374521,0.822341,0.365573,1.028749
llama-3.2-3b,Q,27,1536,0.156326,0.419914,0.890238,0.514319,1.627534
llama-3.2-3b,K,0,512,0.346186,0.817653,0.998482,1.075960,2.947138
llama-3.2-3b,K,1,512,0.223205,0.789646,0.975300,1.222521,3.097480
llama-3.2-3b,K,2,512,0.135732,0.443902,0.974954,0.480412,1.585738
llama-3.2-3b,K,3,512,0.153942,0.527122,0.972856,0.537196,1.836442
llama-3.2-3b,K,4,512,0.162009,0.520353,0.978887,0.520589,1.664896
llama-3.2-3b,K,5,512,0.144958,0.465362,0.903167,0.460128,1.488070
llama-3.2-3b,K,6,512,0.153711,0.504508,0.897383,0.493783,1.501425
llama-3.2-3b,K,7,512,0.152758,0.497076,0.850663,0.513638,1.573485
llama-3.2-3b,K,8,512,0.151555,0.470771,0.851558,0.515251,1.571887
llama-3.2-3b,K,9,512,0.145226,0.481843,0.824816,0.569077,1.582537
llama-3.2-3b,K,10,512,0.145819,0.448922,0.763020,0.507467,1.402798
llama-3.2-3b,K,11,512,0.148881,0.437061,0.803428,0.559896,1.545673
llama-3.2-3b,K,12,512,0.156340,0.501430,0.798455,0.477614,1.370224
llama-3.2-3b,K,13,512,0.144658,0.456058,0.731630,0.523000,1.699169
llama-3.2-3b,K,14,512,0.140171,0.391382,0.617069,0.545384,1.626838
llama-3.2-3b,K,15,512,0.156984,0.415002,0.789863,0.502927,1.532730
llama-3.2-3b,K,16,512,0.139585,0.406646,0.807577,0.463206,1.374220
llama-3.2-3b,K,17,512,0.147823,0.422232,0.705817,0.488759,1.394898
llama-3.2-3b,K,18,512,0.145259,0.391948,0.792268,0.440290,1.312399
llama-3.2-3b,K,19,512,0.154010,0.441096,0.839372,0.495654,1.565101
llama-3.2-3b,K,20,512,0.144646,0.410001,0.845962,0.450309,1.452485
llama-3.2-3b,K,21,512,0.142065,0.429521,0.828618,0.411194,1.344603
llama-3.2-3b,K,22,512,0.148664,0.487768,0.910413,0.426292,1.392597
llama-3.2-3b,K,23,512,0.157852,0.466421,0.853071,0.444120,1.356638
llama-3.2-3b,K,24,512,0.153148,0.452615,0.834376,0.438023,1.382528
llama-3.2-3b,K,25,512,0.134361,0.393934,0.864990,0.354385,1.055336
llama-3.2-3b,K,26,512,0.172401,0.465669,0.847121,0.500186,1.416180
llama-3.2-3b,K,27,512,0.160747,0.469694,0.783980,0.533479,1.592509
llama-3.2-3b-instruct,Q,0,1536,0.392202,0.862653,0.999819,0.957645,2.587048
llama-3.2-3b-instruct,Q,1,1536,0.225641,0.654748,0.916390,0.915162,2.524439
llama-3.2-3b-instruct,Q,2,1536,0.130600,0.360222,0.943366,0.417232,1.354768
llama-3.2-3b-instruct,Q,3,1536,0.135735,0.364826,0.943596,0.411424,1.272898
llama-3.2-3b-instruct,Q,4,1536,0.150893,0.386857,0.899956,0.471642,1.524385
llama-3.2-3b-instruct,Q,5,1536,0.144514,0.401718,0.899913,0.386275,1.132171
llama-3.2-3b-instruct,Q,6,1536,0.137026,0.364648,0.881588,0.387527,1.154686
llama-3.2-3b-instruct,Q,7,1536,0.135859,0.398523,0.759725,0.368055,1.101586
llama-3.2-3b-instruct,Q,8,1536,0.146451,0.392011,0.770340,0.385063,1.177973
llama-3.2-3b-instruct,Q,9,1536,0.132513,0.385984,0.787412,0.366226,1.079884
llama-3.2-3b-instruct,Q,10,1536,0.130919,0.343167,0.720689,0.343500,0.925406
llama-3.2-3b-instruct,Q,11,1536,0.130802,0.325342,0.651978,0.376733,1.086382
llama-3.2-3b-instruct,Q,12,1536,0.115584,0.305818,0.705378,0.314317,0.889948
